Source: /app/node5/item-22013 | Message ID: 13 | Time generated: 12.100000 | Time sentFromSrcR: 12.369643 | Time receivedFromSrcR: 17.115947 |End 
Source: /app/node5/item-22014 | Message ID: 14 | Time generated: 13.100000 | Time sentFromSrcR: 13.469643 | Time receivedFromSrcR: 17.198987 |End 
Source: /app/node5/item-22015 | Message ID: 15 | Time generated: 14.100000 | Time sentFromSrcR: 14.572048 | Time receivedFromSrcR: 17.323547 |End 
Source: /app/node5/item-22016 | Message ID: 16 | Time generated: 15.100000 | Time sentFromSrcR: 15.134288 | Time receivedFromSrcR: 17.365067 |End 
Source: /app/node5/item-22017 | Message ID: 17 | Time generated: 16.100000 | Time sentFromSrcR: 16.219643 | Time receivedFromSrcR: 17.503467 |End 
Source: /app/node5/item-22019 | Message ID: 19 | Time generated: 18.100000 | Time sentFromSrcR: 36.969643 | Time receivedFromSrcR: 50.188267 |End 
Source: /app/node5/item-22044 | Message ID: 44 | Time generated: 43.100000 | Time sentFromSrcR: 45.019643 | Time receivedFromSrcR: 50.312827 |End 
Source: /app/node5/item-22037 | Message ID: 37 | Time generated: 36.100000 | Time sentFromSrcR: 45.019643 | Time receivedFromSrcR: 50.672667 |End 
Source: /app/node5/item-22030 | Message ID: 30 | Time generated: 29.100000 | Time sentFromSrcR: 45.019643 | Time receivedFromSrcR: 50.755707 |End 
Source: /app/node5/item-22043 | Message ID: 43 | Time generated: 42.100000 | Time sentFromSrcR: 45.019643 | Time receivedFromSrcR: 50.811067 |End 
Source: /app/node5/item-22042 | Message ID: 42 | Time generated: 41.100000 | Time sentFromSrcR: 45.019643 | Time receivedFromSrcR: 50.852587 |End 
Source: /app/node5/item-22045 | Message ID: 45 | Time generated: 44.100000 | Time sentFromSrcR: 45.019643 | Time receivedFromSrcR: 51.004827 |End 
Source: /app/node5/item-22046 | Message ID: 46 | Time generated: 45.100000 | Time sentFromSrcR: 45.863445 | Time receivedFromSrcR: 51.115547 |End 
Source: /app/node5/item-22047 | Message ID: 47 | Time generated: 46.100000 | Time sentFromSrcR: 46.184443 | Time receivedFromSrcR: 51.157067 |End 
Source: /app/node5/item-22048 | Message ID: 48 | Time generated: 47.100000 | Time sentFromSrcR: 47.289083 | Time receivedFromSrcR: 51.240107 |End 
Source: /app/node5/item-22049 | Message ID: 49 | Time generated: 48.100000 | Time sentFromSrcR: 48.919643 | Time receivedFromSrcR: 51.489227 |End 
Source: /app/node5/item-22050 | Message ID: 50 | Time generated: 49.100000 | Time sentFromSrcR: 49.469643 | Time receivedFromSrcR: 51.544587 |End 
Source: /app/node5/item-22045 | Message ID: 45 | Time generated: 44.100000 | Time sentFromSrcR: 53.768085 | Time receivedFromSrcR: 54.644347 |End 
Source: /app/node5/item-22069 | Message ID: 69 | Time generated: 68.100000 | Time sentFromSrcR: 68.869643 | Time receivedFromSrcR: 72.183895 |End 
Source: /app/node5/item-22068 | Message ID: 68 | Time generated: 67.100000 | Time sentFromSrcR: 73.719643 | Time receivedFromSrcR: 74.107307 |End 
Source: /app/node5/item-22067 | Message ID: 67 | Time generated: 66.100000 | Time sentFromSrcR: 73.719643 | Time receivedFromSrcR: 74.176507 |End 
Source: /app/node5/item-22066 | Message ID: 66 | Time generated: 65.100000 | Time sentFromSrcR: 73.719643 | Time receivedFromSrcR: 74.245707 |End 
Source: /app/node5/item-22070 | Message ID: 70 | Time generated: 69.100000 | Time sentFromSrcR: 73.719643 | Time receivedFromSrcR: 74.259547 |End 
Source: /app/node5/item-22071 | Message ID: 71 | Time generated: 70.100000 | Time sentFromSrcR: 73.719643 | Time receivedFromSrcR: 74.287227 |End 
Source: /app/node5/item-22098 | Message ID: 98 | Time generated: 97.100000 | Time sentFromSrcR: 97.484443 | Time receivedFromSrcR: 107.375147 |End 
Source: /app/node5/item-22099 | Message ID: 99 | Time generated: 98.100000 | Time sentFromSrcR: 98.584443 | Time receivedFromSrcR: 107.527387 |End 
Source: /app/node5/item-22100 | Message ID: 100 | Time generated: 99.100000 | Time sentFromSrcR: 99.134443 | Time receivedFromSrcR: 107.624267 |End 
Source: /app/node5/item-22098 | Message ID: 98 | Time generated: 97.100000 | Time sentFromSrcR: 97.484443 | Time receivedFromSrcR: 111.261307 |End 
Source: /app/node5/item-22099 | Message ID: 99 | Time generated: 98.100000 | Time sentFromSrcR: 98.584443 | Time receivedFromSrcR: 111.372027 |End 
Source: /app/node5/item-22100 | Message ID: 100 | Time generated: 99.100000 | Time sentFromSrcR: 99.134443 | Time receivedFromSrcR: 111.455067 |End 
