Weight: 49 | Time now: 1.144706 |End 
Weight: 49 | Time now: 2.715106 |End 
Weight: 49 | Time now: 4.315106 |End 
Weight: 49 | Time now: 7.815106 |End 
Weight: 49 | Time now: 9.929906 |End 
Weight: 49 | Time now: 10.479906 |End 
Weight: 49 | Time now: 12.065106 |End 
Weight: 49 | Time now: 12.615106 |End 
Weight: 49 | Time now: 13.165106 |End 
Weight: 49 | Time now: 13.729906 |End 
Weight: 49 | Time now: 14.279906 |End 
Weight: 49 | Time now: 14.829906 |End 
Weight: 49 | Time now: 15.379906 |End 
Weight: 49 | Time now: 16.965106 |End 
Weight: 49 | Time now: 17.515106 |End 
Weight: 49 | Time now: 18.065106 |End 
Weight: 49 | Time now: 18.615106 |End 
Weight: 49 | Time now: 19.165106 |End 
Weight: 49 | Time now: 20.765106 |End 
Weight: 49 | Time now: 21.315106 |End 
Weight: 49 | Time now: 23.244706 |End 
Weight: 49 | Time now: 24.844706 |End 
Weight: 49 | Time now: 26.965106 |End 
Weight: 49 | Time now: 29.115106 |End 
Weight: 49 | Time now: 29.665106 |End 
Weight: 49 | Time now: 30.215106 |End 
Weight: 49 | Time now: 30.765106 |End 
Weight: 49 | Time now: 31.315106 |End 
Weight: 49 | Time now: 33.415106 |End 
Weight: 49 | Time now: 35.015106 |End 
Weight: 49 | Time now: 36.615106 |End 
Weight: 49 | Time now: 38.215106 |End 
Weight: 49 | Time now: 39.815106 |End 
Weight: 49 | Time now: 40.365106 |End 
Weight: 49 | Time now: 40.915106 |End 
Weight: 49 | Time now: 41.465106 |End 
Weight: 49 | Time now: 42.015106 |End 
Weight: 49 | Time now: 43.615106 |End 
Weight: 49 | Time now: 45.765106 |End 
Weight: 49 | Time now: 46.315106 |End 
Weight: 49 | Time now: 46.865106 |End 
Weight: 49 | Time now: 47.415106 |End 
Weight: 49 | Time now: 49.015106 |End 
Weight: 49 | Time now: 50.615106 |End 
Weight: 49 | Time now: 52.215106 |End 
Weight: 49 | Time now: 52.765106 |End 
Weight: 49 | Time now: 54.665106 |End 
Weight: 49 | Time now: 56.829906 |End 
Weight: 49 | Time now: 57.379906 |End 
Weight: 49 | Time now: 57.929906 |End 
Weight: 49 | Time now: 58.479906 |End 
Weight: 49 | Time now: 60.615106 |End 
Weight: 49 | Time now: 61.165106 |End 
Weight: 49 | Time now: 64.915106 |End 
Weight: 49 | Time now: 67.015106 |End 
Weight: 49 | Time now: 67.565106 |End 
Weight: 49 | Time now: 68.115106 |End 
Weight: 49 | Time now: 69.715106 |End 
Weight: 52 | Time now: 71.615090 |End 
Weight: 53 | Time now: 72.165082 |End 
Weight: 54 | Time now: 72.715073 |End 
Weight: 54 | Time now: 73.265063 |End 
Weight: 57 | Time now: 75.415023 |End 
Weight: 58 | Time now: 75.965014 |End 
Weight: 58 | Time now: 76.515005 |End 
Weight: 59 | Time now: 77.064997 |End 
Weight: 59 | Time now: 77.614990 |End 
Weight: 59 | Time now: 78.164983 |End 
Weight: 60 | Time now: 78.714977 |End 
Weight: 60 | Time now: 79.264972 |End 
Weight: 60 | Time now: 79.814967 |End 
Weight: 61 | Time now: 80.364966 |End 
Weight: 61 | Time now: 80.914966 |End 
Weight: 61 | Time now: 81.464966 |End 
Weight: 61 | Time now: 82.014966 |End 
Weight: 61 | Time now: 82.564966 |End 
Weight: 61 | Time now: 83.114966 |End 
Weight: 61 | Time now: 83.664966 |End 
Weight: 61 | Time now: 84.214966 |End 
Weight: 61 | Time now: 84.764966 |End 
Weight: 61 | Time now: 85.314966 |End 
Weight: 61 | Time now: 85.864966 |End 
Weight: 61 | Time now: 86.414966 |End 
Weight: 61 | Time now: 88.564966 |End 
Weight: 61 | Time now: 89.114966 |End 
Weight: 61 | Time now: 89.664966 |End 
Weight: 61 | Time now: 90.214966 |End 
Weight: 61 | Time now: 90.764966 |End 
Weight: 61 | Time now: 91.314966 |End 
Weight: 61 | Time now: 91.864966 |End 
Weight: 61 | Time now: 92.414966 |End 
Weight: 61 | Time now: 92.964966 |End 
Weight: 61 | Time now: 93.514966 |End 
Weight: 61 | Time now: 94.064966 |End 
Weight: 61 | Time now: 96.214966 |End 
Weight: 61 | Time now: 96.767848 |End 
Weight: 61 | Time now: 97.314966 |End 
Weight: 61 | Time now: 97.864966 |End 
Weight: 61 | Time now: 98.414966 |End 
Weight: 61 | Time now: 100.014966 |End 
Weight: 61 | Time now: 100.564966 |End 
