Weight: 69 | Time now: 1.129683 |End 
Weight: 69 | Time now: 1.679683 |End 
Weight: 69 | Time now: 2.229683 |End 
Weight: 69 | Time now: 2.779683 |End 
Weight: 69 | Time now: 3.329683 |End 
Weight: 69 | Time now: 3.879683 |End 
Weight: 69 | Time now: 4.429683 |End 
Weight: 69 | Time now: 4.979683 |End 
Weight: 69 | Time now: 5.529683 |End 
Weight: 69 | Time now: 6.079683 |End 
Weight: 69 | Time now: 6.629683 |End 
Weight: 69 | Time now: 7.179683 |End 
Weight: 69 | Time now: 7.714883 |End 
Weight: 69 | Time now: 8.264883 |End 
Weight: 69 | Time now: 8.814883 |End 
Weight: 69 | Time now: 9.364883 |End 
Weight: 69 | Time now: 9.914883 |End 
Weight: 69 | Time now: 10.464883 |End 
Weight: 69 | Time now: 11.014883 |End 
Weight: 69 | Time now: 11.564883 |End 
Weight: 69 | Time now: 12.114883 |End 
Weight: 69 | Time now: 12.664883 |End 
Weight: 69 | Time now: 13.214883 |End 
Weight: 69 | Time now: 13.764883 |End 
Weight: 69 | Time now: 14.314883 |End 
Weight: 69 | Time now: 14.864883 |End 
Weight: 69 | Time now: 15.414883 |End 
Weight: 69 | Time now: 15.964883 |End 
Weight: 69 | Time now: 16.514883 |End 
Weight: 69 | Time now: 17.064883 |End 
Weight: 69 | Time now: 17.614883 |End 
Weight: 69 | Time now: 18.164883 |End 
Weight: 69 | Time now: 18.714883 |End 
Weight: 69 | Time now: 19.264883 |End 
Weight: 69 | Time now: 19.814883 |End 
Weight: 70 | Time now: 20.364878 |End 
Weight: 71 | Time now: 20.914873 |End 
Weight: 72 | Time now: 21.464869 |End 
Weight: 73 | Time now: 22.014866 |End 
Weight: 74 | Time now: 22.564864 |End 
Weight: 75 | Time now: 23.114863 |End 
Weight: 75 | Time now: 23.664862 |End 
Weight: 75 | Time now: 24.214863 |End 
Weight: 74 | Time now: 24.764864 |End 
Weight: 73 | Time now: 25.314865 |End 
Weight: 72 | Time now: 25.864868 |End 
Weight: 71 | Time now: 26.414871 |End 
Weight: 70 | Time now: 26.964876 |End 
Weight: 69 | Time now: 27.514883 |End 
Weight: 67 | Time now: 28.064892 |End 
Weight: 66 | Time now: 28.614903 |End 
Weight: 64 | Time now: 29.164916 |End 
Weight: 63 | Time now: 29.714934 |End 
Weight: 61 | Time now: 30.264955 |End 
Weight: 60 | Time now: 30.814980 |End 
Weight: 58 | Time now: 31.365009 |End 
Weight: 56 | Time now: 31.915039 |End 
Weight: 54 | Time now: 32.615075 |End 
Weight: 46 | Time now: 34.215110 |End 
Weight: 43 | Time now: 34.765110 |End 
