Weight: 37 | Time now: 32.629915 |End 
Weight: 42 | Time now: 33.179910 |End 
Weight: 47 | Time now: 33.729910 |End 
Weight: 56 | Time now: 35.315042 |End 
Weight: 58 | Time now: 35.865010 |End 
Weight: 59 | Time now: 36.414984 |End 
Weight: 60 | Time now: 36.964967 |End 
Weight: 61 | Time now: 37.514957 |End 
Weight: 61 | Time now: 38.064954 |End 
Weight: 61 | Time now: 38.614959 |End 
Weight: 60 | Time now: 39.164970 |End 
Weight: 55 | Time now: 41.065053 |End 
Weight: 53 | Time now: 41.631802 |End 
Weight: 45 | Time now: 43.215110 |End 
Weight: 30 | Time now: 44.815153 |End 
