Weight: 43 | Time now: 4.465110 |End 
Weight: 43 | Time now: 7.665110 |End 
Weight: 43 | Time now: 8.165110 |End 
Weight: 43 | Time now: 9.765110 |End 
Weight: 43 | Time now: 10.315110 |End 
Weight: 43 | Time now: 11.915110 |End 
Weight: 43 | Time now: 15.665110 |End 
Weight: 43 | Time now: 17.815110 |End 
Weight: 43 | Time now: 18.365110 |End 
Weight: 43 | Time now: 19.965110 |End 
Weight: 43 | Time now: 21.565110 |End 
Weight: 43 | Time now: 25.065110 |End 
Weight: 43 | Time now: 26.665110 |End 
Weight: 43 | Time now: 28.265110 |End 
Weight: 43 | Time now: 28.815110 |End 
Weight: 43 | Time now: 29.365110 |End 
Weight: 43 | Time now: 29.915110 |End 
Weight: 43 | Time now: 36.615110 |End 
Weight: 43 | Time now: 38.215110 |End 
Weight: 43 | Time now: 38.765110 |End 
Weight: 43 | Time now: 42.515110 |End 
Weight: 43 | Time now: 44.115110 |End 
Weight: 43 | Time now: 44.665110 |End 
Weight: 43 | Time now: 49.765110 |End 
Weight: 43 | Time now: 50.315110 |End 
Weight: 43 | Time now: 52.465110 |End 
Weight: 43 | Time now: 53.015110 |End 
Weight: 43 | Time now: 53.565110 |End 
Weight: 43 | Time now: 56.765110 |End 
Weight: 43 | Time now: 58.365110 |End 
Weight: 43 | Time now: 58.915110 |End 
Weight: 43 | Time now: 59.465110 |End 
Weight: 43 | Time now: 61.065110 |End 
Weight: 43 | Time now: 61.615110 |End 
Weight: 43 | Time now: 62.165110 |End 
Weight: 43 | Time now: 63.765110 |End 
Weight: 43 | Time now: 65.665110 |End 
Weight: 43 | Time now: 66.215110 |End 
Weight: 43 | Time now: 66.765110 |End 
Weight: 43 | Time now: 67.315110 |End 
Weight: 43 | Time now: 67.865110 |End 
Weight: 43 | Time now: 68.415110 |End 
Weight: 43 | Time now: 70.015110 |End 
Weight: 43 | Time now: 70.565110 |End 
Weight: 43 | Time now: 74.315110 |End 
Weight: 43 | Time now: 74.865110 |End 
Weight: 43 | Time now: 75.415110 |End 
Weight: 43 | Time now: 77.315110 |End 
Weight: 43 | Time now: 79.465110 |End 
Weight: 43 | Time now: 83.215110 |End 
Weight: 43 | Time now: 83.765110 |End 
Weight: 43 | Time now: 85.915110 |End 
Weight: 43 | Time now: 92.865110 |End 
Weight: 43 | Time now: 94.465110 |End 
Weight: 43 | Time now: 96.065110 |End 
Weight: 43 | Time now: 96.615110 |End 
Weight: 43 | Time now: 97.165110 |End 
Weight: 43 | Time now: 97.715110 |End 
Weight: 43 | Time now: 99.865110 |End 
Weight: 43 | Time now: 100.415110 |End 
Weight: 43 | Time now: 102.015110 |End 
Weight: 43 | Time now: 102.565110 |End 
Weight: 43 | Time now: 106.065110 |End 
Weight: 43 | Time now: 106.615110 |End 
Weight: 43 | Time now: 107.165110 |End 
Weight: 43 | Time now: 110.365110 |End 
Weight: 43 | Time now: 112.265110 |End 
Weight: 43 | Time now: 112.815110 |End 
Weight: 43 | Time now: 114.415110 |End 
Weight: 43 | Time now: 114.965110 |End 
Weight: 43 | Time now: 116.565110 |End 
Weight: 43 | Time now: 117.115110 |End 
Weight: 43 | Time now: 118.715110 |End 
Weight: 43 | Time now: 119.265110 |End 
Weight: 43 | Time now: 120.865110 |End 
Weight: 43 | Time now: 124.615110 |End 
Weight: 43 | Time now: 128.115110 |End 
Weight: 43 | Time now: 131.865110 |End 
Weight: 43 | Time now: 133.465110 |End 
Weight: 43 | Time now: 134.015110 |End 
Weight: 43 | Time now: 137.515110 |End 
Weight: 43 | Time now: 138.065110 |End 
Weight: 43 | Time now: 138.615110 |End 
Weight: 43 | Time now: 139.165110 |End 
Weight: 43 | Time now: 141.315110 |End 
Weight: 43 | Time now: 142.915110 |End 
Weight: 43 | Time now: 145.065110 |End 
Weight: 43 | Time now: 153.365110 |End 
Weight: 43 | Time now: 154.965110 |End 
Weight: 43 | Time now: 156.565110 |End 
Weight: 43 | Time now: 157.115110 |End 
Weight: 43 | Time now: 159.015110 |End 
Weight: 43 | Time now: 164.365110 |End 
Weight: 43 | Time now: 165.965110 |End 
Weight: 43 | Time now: 169.715110 |End 
Weight: 43 | Time now: 171.865110 |End 
Weight: 43 | Time now: 173.465110 |End 
Weight: 43 | Time now: 174.015110 |End 
Weight: 43 | Time now: 175.915110 |End 
Weight: 43 | Time now: 176.465110 |End 
Weight: 43 | Time now: 177.015110 |End 
Weight: 43 | Time now: 178.615110 |End 
Weight: 43 | Time now: 179.165110 |End 
Weight: 43 | Time now: 179.715110 |End 
Weight: 43 | Time now: 180.265110 |End 
Weight: 43 | Time now: 183.765110 |End 
Weight: 43 | Time now: 189.115110 |End 
Weight: 43 | Time now: 190.715110 |End 
Weight: 43 | Time now: 192.315110 |End 
Weight: 43 | Time now: 193.915110 |End 
Weight: 43 | Time now: 199.015110 |End 
Weight: 43 | Time now: 199.565110 |End 
