1->100.000000 | 0->88.000000 => 36.500000
1->100.000000 | 0->88.000000 => 36.500000
1->100.000000 | 0->88.000000 => 36.500000
1->100.000000 | 0->88.000000 => 37.000000
1->100.000000 | 0->88.000000 => 37.000000
2->100.000000 | 1->88.000000 => 71.500000
2->100.000000 | 1->88.000000 => 71.500000
2->100.000000 | 1->88.000000 => 71.500000
2->100.000000 | 1->88.000000 => 72.000000
2->100.000000 | 1->88.000000 => 72.000000
