1->100.000000 | 0->88.000000 => 36.500000
1->100.000000 | 0->88.000000 => 36.500000
1->100.000000 | 0->88.000000 => 37.000000
1->100.000000 | 0->88.000000 => 37.000000
1->100.000000 | 0->88.000000 => 37.000000
3->100.000000 | 1->89.000000 => 81.500000
3->100.000000 | 1->89.000000 => 82.000000
3->100.000000 | 1->89.000000 => 82.000000
3->100.000000 | 1->89.000000 => 82.000000
