Source: /app/node1/item-22088 | Message ID: 88 | Time generated: 87.100000 | Time sentFromSrcR: 88.969847 | Time receivedFromSrcR: 93.811657 |End 
Source: /app/node1/item-22089 | Message ID: 89 | Time generated: 88.100000 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 94.005417 |End 
Source: /app/node1/item-22092 | Message ID: 92 | Time generated: 91.100000 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 94.033097 |End 
Source: /app/node1/item-22093 | Message ID: 93 | Time generated: 92.100000 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 94.046937 |End 
Source: /app/node1/item-22086 | Message ID: 86 | Time generated: 85.100000 | Time sentFromSrcR: 88.969847 | Time receivedFromSrcR: 95.398193 |End 
Source: /app/node1/item-22090 | Message ID: 90 | Time generated: 89.100000 | Time sentFromSrcR: 92.719847 | Time receivedFromSrcR: 95.495073 |End 
Source: /app/node1/item-22095 | Message ID: 95 | Time generated: 94.100000 | Time sentFromSrcR: 94.869847 | Time receivedFromSrcR: 95.633473 |End 
Source: /app/node1/item-22091 | Message ID: 91 | Time generated: 90.100000 | Time sentFromSrcR: 94.869847 | Time receivedFromSrcR: 97.644697 |End 
Source: /app/node1/item-22097 | Message ID: 97 | Time generated: 96.100000 | Time sentFromSrcR: 98.622097 | Time receivedFromSrcR: 99.322377 |End 
Source: /app/node1/item-22098 | Message ID: 98 | Time generated: 97.100000 | Time sentFromSrcR: 98.622097 | Time receivedFromSrcR: 100.880857 |End 
Source: /app/node1/item-22099 | Message ID: 99 | Time generated: 98.100000 | Time sentFromSrcR: 98.622097 | Time receivedFromSrcR: 112.325497 |End 
Source: /app/node1/item-22096 | Message ID: 96 | Time generated: 95.100000 | Time sentFromSrcR: 108.019847 | Time receivedFromSrcR: 112.436217 |End 
Source: /app/node1/item-22084 | Message ID: 84 | Time generated: 83.100000 | Time sentFromSrcR: 108.019847 | Time receivedFromSrcR: 116.061657 |End 
Source: /app/node1/item-22094 | Message ID: 94 | Time generated: 93.100000 | Time sentFromSrcR: 108.019847 | Time receivedFromSrcR: 116.089337 |End 
Source: /app/node1/item-22100 | Message ID: 100 | Time generated: 99.100000 | Time sentFromSrcR: 108.019847 | Time receivedFromSrcR: 124.111657 |End 
